Dato,DSP
2006-03-12,
2006-05-02,
2006-05-08,
2006-05-15,29
2006-05-22,
2006-05-29,
2006-06-06,47
2006-06-12,
2006-06-19,
2006-06-26,
2006-07-03,66
2006-07-10,
2006-07-17,
2006-07-24,
2006-07-31,618
2006-08-07,
2006-08-14,
2006-08-21,
2006-08-28,286
2006-09-04,
2006-09-11,
2006-09-18,
2006-09-25,947.422839506173
2006-10-02,
2006-10-09,
2006-10-16,
2006-10-23,798
2006-10-30,
2006-11-06,
2006-11-13,
2006-11-20,
2006-11-27,536
2006-12-04,
2006-12-11,
2006-12-18,536
2007-02-11,
2007-02-27,
2007-03-05,
2007-03-19,159.86833933665
2007-03-27,
2007-04-10,
2007-04-16,
2007-04-23,31.8611977794167
2007-05-02,
2007-05-07,
2007-05-14,
2007-05-21,49.5895217786152
2007-05-29,
2007-06-04,
2007-06-11,
2007-06-18,41.5829490696497
2007-06-25,
2007-07-02,
2007-07-09,
2007-07-16,25.6723158302783
2007-07-23,
2007-07-30,
2007-08-06,
2007-08-13,20.9832506840198
2007-08-20,
2007-08-27,
2007-09-03,
2007-09-10,92.3433100614456
2007-09-17,
2007-09-24,
2007-10-01,
2007-10-08,775
2007-10-14,
2007-10-22,
2007-10-29,
2007-11-04,
2007-11-19,
2007-11-26,
2007-12-03,864.810823615398
2007-12-10,
2008-02-04,523.179509557398
2008-02-18,
2008-02-25,
2008-03-03,290.505148952314
2008-03-10,
2008-03-25,
2008-03-31,165
2008-04-07,
2008-04-14,
2008-04-21,
2008-04-28,98.0401227377079
2008-05-05,
2008-05-13,
2008-05-19,
2008-05-26,54.4
2008-06-02,
2008-06-09,
2008-06-16,
2008-06-23,149.374710408502
2008-06-30,
2008-07-07,
2008-07-14,
2008-07-21,42.8493712521368
2008-07-28,
2008-08-04,
2008-08-11,
2008-08-18,36.4997569674811
2008-08-25,
2008-09-01,57.7245230345663
2008-09-08,
2008-09-13,
2008-09-22,
2008-09-29,113.40462575683
2008-10-06,
2008-10-13,
2008-10-20,
2008-10-27,164.130695258684
2008-11-02,
2008-11-10,
2009-01-26,61.8339161097647
2009-02-02,
2009-02-09,
2009-02-16,
2009-02-23,66.6214136583789
2009-03-02,
2009-03-09,
2009-03-16,
2009-03-23,41.6502313127141
2009-03-30,
2009-04-20,21.4711637726925
2009-04-27,
2009-05-04,
2009-05-11,
2009-05-18,28.1091666438948
2009-05-25,
2009-06-08,
2009-06-15,20
2009-06-22,
2009-06-29,
2009-07-06,
2009-07-13,24.3285991717989
2009-07-20,
2009-07-27,
2009-08-03,
2009-08-10,34.6090292890896
2009-08-17,
2009-08-24,
2009-08-31,
2009-09-07,267.441380086801
2009-09-13,
2009-09-21,
2009-09-28,
2009-10-05,171.067373001405
2009-10-12,
2009-10-19,
2009-10-26,
2009-11-02,60.4544774289769
2009-11-08,
2009-11-16,
2010-01-18,20
2010-01-24,
2010-02-01,39.6254735365612
2010-02-08,
2010-02-15,43.8164356522995
2010-02-22,
2010-03-01,39.3160444959542
2010-03-08,
2010-03-15,20.0836551925789
2010-03-22,
2010-04-12,20
2010-04-19,
2010-04-26,20
2010-05-03,
2010-05-10,20
2010-05-18,
2010-05-25,
2010-05-31,20
2010-06-07,20
2010-06-14,
2010-06-21,20
2010-06-28,
2010-07-05,20
2010-07-19,20
2010-07-26,
2010-08-02,60.9529069324549
2010-08-08,
2010-08-16,41.2590537534269
2010-08-23,
2010-08-30,29.5907766035622
2010-09-06,
2010-09-13,138.879393732244
2010-09-20,
2010-09-27,66.9750934992571
2010-10-04,
2010-10-11,32.2677722897319
2010-10-18,
2010-10-25,35.7042701886148
2010-11-01,
2010-11-08,67.0718643743689
2010-11-15,
2010-11-22,
2010-11-29,
2010-12-06,29.1781773652728
2010-12-13,
2012-03-05,20
2012-03-12,
2012-03-19,
2012-03-26,
2012-04-10,20
2012-04-16,
2012-04-23,
2012-04-30,
2012-05-07,20
2012-05-21,
2012-05-29,
2012-06-04,
2012-06-11,20
2012-06-18,
2012-06-25,
2012-07-02,
2012-07-09,20
2012-07-16,
2012-07-23,
2012-07-30,
2012-08-06,58.0906356282215
2012-08-13,
2012-08-20,
2012-09-03,79.4899128333161
2012-09-10,
2012-09-17,
2012-09-24,
2012-10-01,22.1979063386225
2012-10-08,
2012-10-22,
2012-10-29,20
2012-11-05,
2012-11-12,
2012-11-19,
2012-11-26,20
2013-02-04,20
2013-02-11,
2013-02-18,
2013-02-25,
2013-03-04,20
2013-03-11,
2013-03-18,
2013-04-02,
2013-04-08,20
2013-04-15,
2013-04-22,
2013-04-29,
2013-05-06,20
2013-05-13,
2013-05-21,
2013-05-27,20
2013-06-03,
2013-06-10,
2013-06-17,
2013-06-24,
2013-07-01,20
2013-07-08,
2013-07-15,
2013-07-22,
2013-07-29,20
2013-08-05,
2013-08-12,
2013-08-19,
2013-08-26,24.2864675056616
2013-09-02,
2013-09-09,
2013-09-16,
2013-09-23,39.4449261612239
2013-09-30,
2013-10-07,
2013-10-14,
2013-10-21,20
2013-10-28,
2013-11-04,
2013-11-11,
2013-11-17,20
2013-11-25,
2014-02-10,20
2014-02-17,
2014-02-24,
2014-03-03,20
2014-03-10,
2014-03-17,
2014-03-24,
2014-03-31,20
2014-04-07,
2014-04-28,
2014-05-05,20
2014-05-12,
2014-05-19,
2014-05-26,
2014-06-02,20
2014-06-10,
2014-06-16,
2014-06-23,
2014-06-30,20
2014-07-07,
2014-07-14,
2014-07-21,
2014-07-28,20
2014-08-04,
2014-08-11,
2014-08-18,
2014-08-25,20
2014-09-01,
2014-09-08,
2014-09-15,
2014-09-22,20
2014-09-29,
2014-10-06,
2014-10-13,
2014-10-20,20
2014-10-27,
2014-11-03,
2014-11-10,
2014-11-17,20
2014-11-24,
2014-12-01,
2014-12-08,
2015-02-02,20
2015-02-16,
2015-02-23,
2015-03-02,20
2015-03-09,
2015-03-16,
2015-03-23,
2015-04-07,20
2015-04-13,
2015-04-20,
2015-04-27,
2015-05-04,20
2015-05-18,
2015-05-26,
2015-06-01,20
2015-06-08,
2015-06-15,20
2015-06-22,
2015-06-29,
2015-07-06,
2015-07-13,
2015-07-20,
2015-07-27,20
2015-08-03,
2015-08-10,
2015-08-18,
2015-08-31,20
2015-09-07,
2015-09-14,
2015-09-21,20
2015-09-28,
2015-10-05,
2015-10-12,
2015-10-19,20
2015-10-26,
2015-11-09,
2015-11-16,20
2015-11-30,
2016-02-08,20
2016-02-15,
2016-02-22,
2016-02-29,
2016-03-07,20
2016-03-14,
2016-03-29,
2016-04-04,
2016-04-11,20
2016-04-18,
2016-04-25,
2016-05-02,
2016-05-09,20
2016-05-23,
2016-05-30,
2016-06-06,
2016-06-13,20
2016-06-20,
2016-06-27,20
2016-07-04,
2016-07-11,20
2016-07-18,
2016-07-25,
2016-08-01,
2016-08-08,20
2016-08-15,
2016-08-22,
2016-08-29,
2016-09-05,20
2016-09-12,
2016-09-19,
2016-09-26,
2016-10-03,20
2016-10-17,
2016-10-24,
2016-10-31,20
2016-11-07,
2016-11-14,
2017-02-13,
2017-02-20,
2017-02-26,20
2017-03-06,
2017-03-13,
2017-03-20,
2017-03-27,20
2017-04-03,
2017-04-18,
2017-04-24,20
2017-05-02,
2017-05-08,
2017-05-22,20
2017-05-29,
2017-06-06,
2017-06-12,20
2017-06-19,
2017-06-26,20
2017-07-03,
2017-07-10,
2017-07-17,20
2017-07-24,
2017-07-31,
2017-08-07,
2017-08-14,48.2970856987555
2017-08-21,
2017-08-28,
2017-09-11,237.965664465486
2017-09-18,
2017-09-25,
2017-10-02,
2017-10-09,66.4144374757701
2017-10-16,
2017-10-23,
2017-10-30,
2018-03-20,20
2018-04-04,
2018-04-09,
2018-04-16,20
2018-04-23,
2018-04-30,
2018-05-07,
2018-05-14,20
2018-05-22,
2018-05-28,
2018-06-04,
2018-06-11,20
2018-06-18,
2018-06-25,
2018-07-02,
2018-07-09,
2018-07-23,
2018-07-30,
2018-08-06,20
2018-08-13,
2018-08-20,
2018-08-27,
2018-09-03,24.9338153536881
2018-09-10,
2018-09-17,
2018-09-24,
2018-10-01,76.8375840458287
2018-10-08,
2018-10-15,
2018-10-22,
2018-10-29,53.3259555405797
2019-03-18,32.5965073899823
2019-03-25,
2019-04-01,
2019-04-08,20
2019-04-23,
2019-04-30,
2019-05-06,
2019-05-13,20
2019-05-20,
2019-05-27,
2019-06-03,
2019-06-11,20
2019-06-17,
2019-06-24,
2019-07-08,20
2019-07-15,
2019-07-22,
2019-07-29,20
2019-08-12,
2019-08-19,
2019-08-26,
2019-09-02,23.7745961540908
2019-09-09,
2019-09-16,
2019-09-23,71.2556939285444
2019-09-30,
2019-10-07,
2019-10-14,
2019-10-21,
2019-10-28,38.5513187676175
